Local   Nome da variável  Escopo        Tipo ID  Tipo Dado  Linhas 
------  ----------------  -----         -------  ---------  ------
5        CpyDMtoHD        global        inteiro   função    0, 
7        Display          global        inteiro   função    0, 
2        CpyHDtoIM        global        inteiro   função    0, 
15       main             global        void      função    7, 
11       unSetCS          global        inteiro   função    0, 
0        output           global        inteiro   função    0, 14, 
13       calculasoma      global        inteiro   função    1, 13, 
1        input            global        inteiro   função    0, 11, 
6        CpyHDtoDM        global        inteiro   função    0, 
8        DisplayProgram   global        inteiro   função    0, 
12       jumpProc         global        inteiro   função    0, 
18       y                main          inteiro   variável   10, 13, 14, 
9        Execproc         global        inteiro   função    0, 
4        CpyHDtoReg       global        inteiro   função    0, 
14       a                calculasoma   inteiro   variável   1, 3, 3, 4, 
16       x                main          inteiro   variável   9, 11, 12, 
10       setCS            global        inteiro   função    0, 
17       i                main          inteiro   variável   9, 11, 12, 13, 15, 15, 
3        CpyRegtoHD       global        inteiro   função    0, 
